nome_genero,id_filme_TMDB
Ação,19995
Aventura,19995
Fantasia,19995
Ficção científica,19995
Aventura,299534
Ficção científica,299534
Ação,299534
Drama,597
Romance,597
Ação,140607
Aventura,140607
Ficção científica,140607
Fantasia,140607
Aventura,299536
Ação,299536
Ficção científica,299536
Ação,135397
Aventura,135397
Ficção científica,135397
Thriller,135397
Aventura,420818
Família,420818
Animação,420818
Ficção científica,24428
Ação,24428
Aventura,24428
Ação,168259
Thriller,168259
Crime,168259
Aventura,168259
Família,330457
Animação,330457
Aventura,330457
Comédia,330457
Fantasia,330457
Ação,99861
Aventura,99861
Ficção científica,99861
Ação,284054
Aventura,284054
Ficção científica,284054
Fantasia,12445
Aventura,12445
Ficção científica,181808
Ação,181808
Aventura,181808
Ação,351286
Aventura,351286
Ficção científica,351286
Animação,109445
Aventura,109445
Família,109445
Família,321612
Fantasia,321612
Romance,321612
Ação,260513
Aventura,260513
Animação,260513
Família,260513
Ação,337339
Crime,337339
Thriller,337339
Ação,68721
Aventura,68721
Ficção científica,68721
Aventura,561499
Ação,561499
Thriller,561499
Família,211672
Animação,211672
Aventura,211672
Comédia,211672
Aventura,271110
Ação,271110
Ficção científica,271110
Ação,297802
Aventura,297802
Fantasia,297802
Ação,429617
Aventura,429617
Ficção científica,429617
Ação,299537
Aventura,299537
Ficção científica,299537
Ação,38356
Ficção científica,38356
Aventura,38356
Aventura,122
Fantasia,122
Ação,122
Ação,37724
Aventura,37724
Thriller,37724
Ficção científica,91314
Ação,91314
Aventura,91314
Ação,49026
Crime,49026
Drama,49026
Thriller,49026
Crime,475557
Thriller,475557
Drama,475557
Ação,181812
Aventura,181812
Ficção científica,181812
Família,301528
Aventura,301528
Animação,301528
Comédia,301528
Fantasia,301528
Drama,301528
Animação,10193
Família,10193
Comédia,10193
Aventura,58
Fantasia,58
Ação,58
Ação,330459
Aventura,330459
Ficção científica,330459
Aventura,420817
Fantasia,420817
Romance,420817
Família,420817
Aventura,1865
Ação,1865
Fantasia,1865
Ação,324852
Animação,324852
Comédia,324852
Família,324852
Aventura,324852
Aventura,127380
Animação,127380
Comédia,127380
Família,127380
Família,12155
Fantasia,12155
Aventura,12155
Animação,269149
Aventura,269149
Família,269149
Comédia,269149
Aventura,49051
Fantasia,49051
Ação,49051
Drama,155
Ação,155
Crime,155
Thriller,155
Aventura,671
Fantasia,671
Animação,93456
Comédia,93456
Família,93456
Família,278927
Aventura,278927
Drama,278927
Fantasia,278927
Aventura,353486
Ação,353486
Comédia,353486
Fantasia,353486
Aventura,285
Fantasia,285
Ação,285
Fantasia,57158
Aventura,57158
Ação,57158
Ação,122917
Aventura,122917
Fantasia,122917
Aventura,12444
Fantasia,12444
Animação,12
Família,12
Aventura,675
Fantasia,675
Mistério,675
Aventura,767
Fantasia,767
Animação,809
Família,809
Comédia,809
Fantasia,809
Aventura,809
Aventura,121
Fantasia,121
Ação,121
Aventura,1893
Ação,1893
Ficção científica,1893
Aventura,329
Ficção científica,329
Aventura,674
Fantasia,674
Família,674
Música,424694
Drama,424694
História,424694
Fantasia,559
Ação,559
Aventura,559
Animação,8355
Comédia,8355
Família,8355
Aventura,8355
Ação,206647
Aventura,206647
Thriller,206647
Ação,315635
Aventura,315635
Ficção científica,315635
Drama,315635
Animação,57800
Comédia,57800
Aventura,57800
Família,57800
Aventura,672
Fantasia,672
Aventura,328111
Comédia,328111
Animação,328111
Família,328111
Ação,209112
Aventura,209112
Fantasia,209112
Aventura,120
Fantasia,120
Ação,120
Guerra,452557
Ação,452557
Drama,452557
Aventura,283995
Ação,283995
Ficção científica,283995
Animação,150540
Família,150540
Aventura,150540
Drama,150540
Comédia,150540
Ficção científica,335983
Ação,335983
Ação,284053
Aventura,284053
Comédia,284053
Fantasia,284053
Ficção científica,284053
Ficção científica,1895
Aventura,1895
Ação,1895
Aventura,101299
Ação,101299
Ficção científica,101299
